source_file,source_sheet,source_row_excel,source_column_excel,year,month,frequency,geography_level,region_name,region_source_code,product_name_raw,okpd2_raw,raw_value,value_numeric,value_status,price_timing,unit_raw
cena_sx_07-2026.xlsx,6.1,2667,E,2025,3.0,monthly,subject,Магаданская область,,Олени северные,01.49.19.110,-,,unavailable,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2667,F,2025,4.0,monthly,subject,Магаданская область,,Олени северные,01.49.19.110,-,,unavailable,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2667,G,2025,5.0,monthly,subject,Магаданская область,,Олени северные,01.49.19.110,-,,unavailable,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2667,H,2025,6.0,monthly,subject,Магаданская область,,Олени северные,01.49.19.110,-,,unavailable,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2667,I,2025,7.0,monthly,subject,Магаданская область,,Олени северные,01.49.19.110,-,,unavailable,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2667,J,2025,8.0,monthly,subject,Магаданская область,,Олени северные,01.49.19.110,-,,unavailable,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2667,K,2025,9.0,monthly,subject,Магаданская область,,Олени северные,01.49.19.110,-,,unavailable,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2667,L,2025,10.0,monthly,subject,Магаданская область,,Олени северные,01.49.19.110,-,,unavailable,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2667,M,2025,11.0,monthly,subject,Магаданская область,,Олени северные,01.49.19.110,-,,unavailable,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2667,N,2025,12.0,monthly,subject,Магаданская область,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2668,C,2025,1.0,monthly,subject,Чукотский автономный округ,,Олени северные,01.49.19.110,42028.11,42028.11,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2668,D,2025,2.0,monthly,subject,Чукотский автономный округ,,Олени северные,01.49.19.110,39414.3,39414.3,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2668,E,2025,3.0,monthly,subject,Чукотский автономный округ,,Олени северные,01.49.19.110,37730.29,37730.29,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2668,F,2025,4.0,monthly,subject,Чукотский автономный округ,,Олени северные,01.49.19.110,38262.94,38262.94,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2668,G,2025,5.0,monthly,subject,Чукотский автономный округ,,Олени северные,01.49.19.110,36829.85,36829.85,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2668,H,2025,6.0,monthly,subject,Чукотский автономный округ,,Олени северные,01.49.19.110,37582.89,37582.89,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2668,I,2025,7.0,monthly,subject,Чукотский автономный округ,,Олени северные,01.49.19.110,38606.48,38606.48,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2668,J,2025,8.0,monthly,subject,Чукотский автономный округ,,Олени северные,01.49.19.110,37880.12,37880.12,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2668,K,2025,9.0,monthly,subject,Чукотский автономный округ,,Олени северные,01.49.19.110,38910.7,38910.7,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2668,L,2025,10.0,monthly,subject,Чукотский автономный округ,,Олени северные,01.49.19.110,38268.78,38268.78,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2668,M,2025,11.0,monthly,subject,Чукотский автономный округ,,Олени северные,01.49.19.110,38363.34,38363.34,observed,end_of_period,RUB/ton
